领域,MCP名称,知识库构建来源,代表博主（小红书号）,关键词,主页链接,推荐输入,推荐输出,推荐Query1,推荐Query2,推荐Query3,推荐Query4,推荐Query5,推荐Query6,推荐Query7,推荐Query8,推荐Query9,推荐Query10,开发价值,
,,,263767433；真真真ing,全屋规划,https://www.xiaohongshu.com/user/profile/583e0d1c5e87e77803b27873?xsec_token=YBvqNVOr5CcXkLQTec8IYwwWd_XnVKPdZ2rfzn7Q9yjmg=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773210602&share_id=6637406d36ea40198ea6e94542e89c97,,,,,,,,,,,,,,
旅行出行,旅行规划MCP,"各地文旅局官网（官方权威信息）；
携程、去哪儿网（正规旅行平台）；
小红书（真实用户 UGC 内容）；
高德地图（地图与交通数据）",670338434；房琪kiki,多省市旅行,https://www.xiaohongshu.com/user/profile/5bf9ff7e999837000189d106?xsec_token=YBoRAbh8tpzG47wlgyLYCrR6ZYqY1sNy2ndMhYp1ao2ic=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773210740&share_id=b6c5bd169f0943b28302f773905af0ef,"出行人群：单人、情侣、闺蜜、家庭亲子、老人同行、学生穷游
目的地：国内城市、省内游、周边游、小众秘境、国外城市
天数：1 天、2 天 3 天、4–5 天、一周深度游
预算：穷游、平价、中等、轻奢
出行方式：高铁、飞机、自驾、公共交通
需求：网红景点测评、避坑、美食探店、行程规划、住宿建议、穿搭、行李收纳、拍照机位、省钱技巧、舒适出行、懒人不赶趟路线
季节 / 天气：春夏秋冬、雨季、晴天、避暑、避寒、看海、看雪、看花","出行定位（人群 + 天数 + 预算 + 风格）
必去 / 不值得去景点真实测评
精简每日行程（时间线：上午 / 下午 / 晚上）
当地必吃美食 & 不踩坑店铺
住宿区域推荐
交通 & 省钱技巧
出行穿搭、行李清单
避坑提醒（宰客、套路、人多劝退）",3 天 2 夜情侣旅行行程规划，小众浪漫不拥挤,网红景点到底值不值得去，求真实测评避坑,单人女生安全出行攻略，舒适又省心,闺蜜出游怎么安排，好吃好拍路线推荐,懒人不赶趟旅行攻略，每天轻松慢悠悠,短途周边一日游，适合放松的地方推荐,自驾出行需要注意什么，必备物品清单,低成本穷游攻略，学生党性价比路线,夏天避暑 / 冬天避寒去哪里最合适,旅行行李怎么收纳，轻便又够用的技巧,全民刚需、复购极高、场景丰富、用户停留长、内容易标准化、变现延伸强,
,,,914715348；西蒙.,多地美食探店,https://www.xiaohongshu.com/user/profile/5de72bb9000000000100971e?xsec_token=YB9eq3qgI6-Ma6wH_NaZv8jCNvQ5Q2HP24A7TrgTNjFpg=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773211000&share_id=668fc394f71e4579a482fdf01d290e66,,,,,,,,,,,,,,
健康养生,养生规划MCP,"国家卫健委、各省中医药大学、附属医院科普平台（标准、权威、无风险、可作为底层知识库）；
丁香医生（体质、食疗、穴位、作息、科学辟谣）；
小红书（日常养生、食疗、茶饮、祛湿、养颜）
",W7631178656；姜碗碗,中式养生、食养,https://www.xiaohongshu.com/user/profile/645f56fa000000000f006d17?xsec_token=YBSGl1ROwV-NaeXdzftfcsu277iyHlNORI4BA8DZ-eQbc=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773211352&share_id=ca58b573f9ba430c8d5df0c63a4d75fd,"人群：女性、上班族、学生、熬夜党、久坐党、体寒、湿气重、失眠、颈椎不适
需求方向：
女性调理：暖宫、痛经缓解、手脚冰凉、气血养护
免疫力：增强抵抗力、少感冒、体虚调理
睡眠：入睡难、易醒、熬夜后修复、安神助眠
祛湿：身体沉重、浮肿、出油、乏力
肩颈腰背：久坐酸痛、僵硬、放松拉伸
情绪放松：冥想、减压、平复焦虑、静心
偏好：食疗、茶饮、按摩穴位、简单动作、睡前习惯、日常小方法
限制：无器械、办公室可做、宿舍可做、零基础、不用吃药","问题与体质简单判断
核心原因简要说明
日常可执行方案：
食疗 / 茶饮 / 汤水
简单动作 / 拉伸 / 按摩
作息与生活习惯
办公室 / 宿舍便携做法
禁忌与避雷（什么不要做）
坚持多久能看到改善",女生体寒宫寒、痛经，平时怎么暖宫调理,经常熬夜免疫力差，怎样简单提高抵抗力,经常熬夜免疫力差，怎样简单提高抵抗力,身体湿气重、出油浮肿，如何有效去湿气,打工人久坐颈肩酸痛僵硬，怎么快速放松,睡前焦虑心静不下来，零基础冥想怎么做,气血不足、手脚冰凉，日常吃什么调理,办公室久坐腰酸，不用器械怎么缓解,压力大精神紧绷，有哪些简单减压方法,熬夜后身体疲惫，怎样快速恢复精气神,全民刚需、强痛点、女性 + 打工人双覆盖、留存高、复询高、安全合规、易标准化,
,,,misuwu；susan米苏,内调、抗老,https://www.xiaohongshu.com/user/profile/5a66c37a4eacab51ffa13134?xsec_token=YB-fHcCly89OssJ4DCwVEwnw9osjSReJFXLsiWZW34Dzo=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773211473&share_id=91d1a59285a24aefb4dae999a0b24e7b,,,,,,,,,,,,,,
职场成长,职场综合能力MCP,"前程无忧、boss直聘（简历优化、面试技巧、跳槽转行、职场薪资、行业职场趋势）；
知乎（职场避坑、PUA 识别、跨部门协作、职场情商、面试实战、跳槽经验）；
小红书（职场穿搭、职场礼仪、办公小技巧、新人入职攻略、效率工具、汇报模板）",4260397249；安妮的职场与生活,谈薪、辞退补偿,https://www.xiaohongshu.com/user/profile/60025b6e00000000010032ce?xsec_token=YBn8c_2wejX1EzRHhOb-XuzeBwh8lBVlHF7MUC7UN30BE=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773211708&share_id=d595c396e1804a89b29b05bfd9329a87,"人群：职场新人、实习生、基层员工、管理者、内向职场人、社恐
场景与需求：
新人入职：适应环境、快速上手、少踩坑、和同事相处
职场沟通：汇报工作、和领导沟通、跨部门协作、对下级沟通
拒绝话术：委婉拒绝额外工作、不背锅、不得罪人
工作复盘：每日 / 每周 / 项目复盘框架、总结写法
时间管理：高效工作、不拖延、优先级、任务规划
升职加薪：谈薪话术、准备材料、时机、表达逻辑
情绪与边界：职场内耗、同事矛盾、职场边界、不讨好
偏好：简短话术、可直接复制、模板化、步骤清晰","场景与问题定位
核心原则（高情商、安全、不踩雷）
可直接复制话术 / 模板 / 步骤
实操执行方法
避雷提醒（禁忌行为）
长期提升建议",职场新人刚入职，应该注意什么才能快速适应,怎么高情商跟领导汇报工作，显得专业靠谱,不想额外加班多干活，如何委婉拒绝同事或领导,每周工作复盘怎么写，有简单通用模板吗,工作总是拖延效率低，怎样做好时间管理,想跟领导提升职加薪，怎么开口不尴尬,跨部门沟通不顺利，有什么实用沟通技巧,总是被迫背锅，如何在职场保护自己,每天事情太多，如何区分工作优先级,职场内向不爱说话，怎么相处不被孤立,职场强刚需、受众广、留存高、实用性极强、标准化高、复询率高、付费意愿强,
,,,954527441；姜Dora在此,女性成长、职业发展,https://www.xiaohongshu.com/user/profile/59b696c25e87e77ea288bab3?xsec_token=YB8TtmH82e2ApQ29QqUSHHy-5ZW7WsjFjNSLR9QJqVVPc=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773211844&share_id=beea60faf9064b5d89df0fce13ecae0b,,,,,,,,,,,,,,
,面试助手MCP,"BOSS 直聘、猎聘（互联网行业面试、中小厂面试、HR 常见提问、职场反问问题）；
慕课（MOOC）（STAR 法则运用、行为面试答题、压力面试应对、薪资谈判）；
B 站（面试模拟、无领导小组讨论、技术面试实操、自我介绍演示）",llllorraine66；LuLu不秃头,求职、面试经验,https://www.xiaohongshu.com/user/profile/61cd67990000000010004d19?xsec_token=YBFBEaURF2cV_0ku2bpOP75nCFvofH2NnZaTL_JTPZaAM=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773211982&share_id=e6fba1c5d04a4fffaac9c1ba302597a3,"求职信息：岗位名称、行业、工作年限、应届生 / 转行 / 跳槽
需求场景：
面试技巧：单面、群面、HR 面、业务面、终面
JD 拆解：根据岗位 JD 提炼要求、关键词、考核重点
技能提炼：岗位必备硬技能、软技能、加分技能
自我介绍：1 分钟 / 3 分钟模板、突出优势
高频问答：优缺点、离职原因、项目介绍、未来规划
场景话术：反问面试官、谈薪资、表达诚意、补救失误
输入形式：可直接粘贴 JD，要求分析与准备方向","岗位与面试类型定位
JD 完整拆解：核心职责、硬性要求、隐性期望
必备技能清单（硬技能 + 软技能）
面试准备重点
自我介绍模板（可直接套用）
高频面试题 + 高分回答思路
避坑提醒（禁忌回答、雷区）
反问面试官话术",面试前要做哪些准备，才能提高通过率,帮我拆解岗位 JD，提炼出核心要求,这个岗位需要掌握哪些技能，我该怎么准备,1 分钟 / 3 分钟面试自我介绍怎么说,面试被问优缺点，如何回答不踩雷,面试中如何优雅谈薪资待遇,应届生面试没有经验，该怎么应对,面试结束反问面试官，问哪些问题加分,项目经历在面试中怎么讲最加分,转行面试，如何突出自己匹配岗位,求职刚需、高频使用、人群广、结构化强、留存高、实用性极强、付费潜力大,
,,,mpgddhh0701；不高兴哈哈大王,职场、面试,https://www.xiaohongshu.com/user/profile/6826cfa3000000000a03e4b9?xsec_token=YBuRMcpYLj1EqfjgunpYppcMYEZxM1dRdL3i8Jxw9V274=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773212109&share_id=3b72e76fde21423995a3f1dbc9fe6985,,,,,,,,,,,,,,
母婴育儿,母婴助手MCP,"国家妇幼健康中心、中国营养学会（中国营养学会）；
丁香妈妈（孕周知识、辅食食谱、发育曲线、睡眠引导、待产包）；
抖音正规儿科 / 产科医生科普（待产清单、辅食做法、哄睡技巧、真实经验）",junjunfushi；君君辅食记,儿童食谱、营养调理,https://www.xiaohongshu.com/user/profile/5c5257e5000000001b039956?xsec_token=YBsjnG-kONNwHxeEZ_v9SqlUihy5qbBi_TkULbeh2Dj9A=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773212209&share_id=bc07a4729975406ca7c06cdd8045eb10,"宝宝信息：月龄 / 年龄、性别、体质、过敏史、性格、发育阶段
妈妈阶段：备孕、孕期、产后、哺乳期、职场妈妈
功能场景：
宝宝辅食：辅食菜单、辅食做法、过敏辅食、营养搭配
绘本推荐：0–3 岁、3–6 岁、性格养成、习惯培养、睡前绘本
亲子互动：在家小游戏、早教互动、专注力、感统训练
母乳 / 奶粉：母乳护理、奶粉选择、转奶、吐奶、胀气
平价母婴好物：待产包、高性价比用品、避坑
产后修复：盆底肌、腹直肌、体态恢复、伤口护理
妈妈情绪：产后情绪、焦虑、内耗、自我调节、减压
限制：预算、在家可做、无器材、新手友好、安全无害","年龄 / 阶段定位
核心问题分析
具体可执行方案 / 步骤 / 清单
安全注意事项 & 避雷
每日 / 每周简单计划
平价替代或省钱建议",6 个月宝宝第一口辅食怎么做，循序渐进菜单,0–3 岁宝宝绘本怎么选，分龄平价推荐,在家适合和宝宝玩什么亲子互动早教游戏,产后如何科学做盆底肌、腹直肌修复,母乳不足怎么追奶，正确哺乳姿势与护理,新手妈妈如何选择奶粉，转奶注意什么,妈妈产后情绪低落焦虑，怎么自我调节,平价实用母婴好物清单，不花冤枉钱,宝宝过敏体质，辅食应该怎么添加更安全,新生儿待产包必备哪些东西，精简不浪费,母婴刚需、家庭高关注、复购极强、留存高、受众精准、场景极丰富,
,,,224437685；戚十二🐰,育儿、孕产经验,https://www.xiaohongshu.com/user/profile/5cb2e9360000000011009c24?xsec_token=YBwzdhE_m-iNMJjihNiM3m4JN7WxXV6cvMBX9VOxZK064=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773212284&share_id=ab845e8c1e534c9b9ef19d99aa216fbf,,,,,,,,,,,,,,
兴趣爱好,兴趣陪伴MCP,"小红书（手工教程、轻食茶饮、小众玩乐、治愈生活技巧）；
知乎（小众爱好科普、兴趣避坑、解压方式、书单影单深度推荐、兴趣养成技巧）",793548614；希柏的书旅记,读书成长、养育内在,https://www.xiaohongshu.com/user/profile/5e1eca880000000001007948?xsec_token=YB1bssF0MQ5G493KAcnRN_7MgwoxUQom4nuxnmIQ5wU-k=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773212469&share_id=67559e7841fe424faddf94bbe3034d4e,"场景与功能：
电影 / 书单：按风格、情绪、年代、人群、主题推荐
塔罗情绪陪伴：情绪解读、内心状态陪伴、决策参考、心灵疏导
文玩入门：科普、鉴别、保养、避坑、入门选购
乐器练习：日常练习计划、简单指法、新手曲目、练琴效率
手账排版：版式、风格、素材、配色、平价工具
其他兴趣：画画、摄影、手工、解压爱好
用户信息：
情绪状态：开心 / 低落 / 迷茫 / 治愈 / 解压
水平：零基础入门、新手、进阶
风格：治愈、悬疑、文艺、搞笑、励志、复古、极简、国风
预算、时间、场景：睡前、通勤、独处、解压、打发时间","需求 & 风格定位
个性化推荐清单 / 练习计划 / 排版方案
入门步骤 / 技巧 / 干货
避雷 & 避坑提醒
工具 / 材料 / 平价好物建议
情绪价值与陪伴引导（塔罗侧重温和疏导）",心情不好很压抑，推荐几部治愈高分电影,零基础想入门文玩，有哪些简单科普和避坑,日常新手乐器练习计划，每天 15 分钟即可,手账简约风排版，有哪些简单好看模板,迷茫内耗的时候，适合看什么书单提升自己,用塔罗帮我做情绪陪伴，解读当下内心状态,周末宅家无聊，有什么低成本解压兴趣爱好,学生党平价手账工具，有哪些不踩雷推荐,睡前安静治愈的书籍和电影推荐,零基础想学一种简单乐器，该怎么开始,用户停留长、治愈解压、覆盖面广、复询高、轻量化、内容易标准化、年轻用户强喜好,
,,,qiepianjihua；切片计划,电影推荐、深度思考,https://www.xiaohongshu.com/user/profile/5c77522c000000001200adfa?xsec_token=YBgj1AFUoFu_NQEoZGTcoC8VSlYyu2SdI1x2lSvRc-Fqw=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773212555&share_id=ed213635ff7e422c8f6ccd495c2266cf,,,,,,,,,,,,,,
